Family,Species,Common.name,Biogeographical.affinity,Reproductive.mode,Lmax..cm.,Trophic.guild,Trophic.level,Habitat..Horizontal.,Habitat..vertical.,Source
Rajidae,Dipturus nidarosiensis,Black skate,Boreal,Demersal eggs,200,Piscivore,3.5,Slope,Bathydemersal,Yang (1982a)
Rajidae,Dipturus oxyrinchus,Long-nosed skate,Lusitanian,Demersal eggs,150,Piscivore,3.5,Slope,Bathydemersal,Yang (1982a)
Rajidae,Leucoraja circularis,Sandy ray,Lusitanian,Demersal eggs,120,Piscivore,3.5,Outer shelf,Demersal,Yang (1982a)
Rajidae,Leucoraja fullonica,Shagreen ray,Boreal,Demersal eggs,100,Piscivore,3.5,Outer shelf,Demersal,Yang (1982a)
Rajidae,Leucoraja naevus,Cuckoo ray,Lusitanian,Demersal eggs,70,Piscivore,3.9,Shelf,Demersal,Yang (1982a)
Rajidae,Raja brachyura,Blonde ray,Lusitanian,Demersal eggs,120,Piscivore,4,Inner shelf,Demersal,Yang (1982a)
Rajidae,Raja clavata,Thornback ray,Lusitanian,Demersal eggs,90,Bentho-piscivore,3.8,Inner shelf,Demersal,Yang (1982a)
Rajidae,Raja microocellata,Painted ray,Lusitanian,Demersal eggs,80,Piscivore,3.9,Inner shelf,Demersal,Yang (1982a)
Rajidae,Raja montagui,Spotted ray,Lusitanian,Demersal eggs,80,Bentho-piscivore,3.7,Inner shelf,Demersal,Yang (1982a)
Rajidae,Raja undulata,Undulate ray,Lusitanian,Demersal eggs,100,Bentho-piscivore,3.5,Inner shelf,Demersal,Yang (1982a)
Rajidae,Rajella fyllae,Round skate,Boreal,Demersal eggs,55,Bentho-piscivore,3.3,Slope,Bathydemersal,Yang (1982a)
Myliobatidae,Myliobatis aquila,Eagle ray,Lusitanian,Viviparous,83 (2),Benthivore,3.6,Shelf,Benthopelagic,Yang (1982a)
Dasyatidae,Dasyatis pastinaca,Sting ray,Lusitanian,Viviparous,60 (2),Bentho-piscivore,4.1,Shelf,Demersal,Yang (1982a)
Dasyatidae,Pteroplatytrygon violacea,Pelagic stingray,Atlantic,Viviparous,80 ([2]),Piscivore,4.4,Oceanic,Epipelagic,Ellis (2007)
Chimaeridae,Chimaera monstrosa,Rabbit fish,Atlantic,Demersal eggs,100,Benthivore,3.5,Slope,Bathydemersal,Yang (1982a)
Acipenseridae,Acipenser sturio,Sturgeon,Lusitanian,Fluvial spawner,350,Benthivore,3.5,Coastal,Demersal,Yang (1982a)
Anguillidae,Anguilla anguilla,European eel,Atlantic,Leptocephalus larvae,100,Bentho-piscivore,3.5,Coastal,Demersal,Yang (1982a)
Muraenidae,Muraena helena,Moray eel,Lusitanian,Leptocephalus larvae,130,Piscivore,4.2,Coastal,Reef-associated,Yang (1982a)
Congridae,Conger conger,Conger eel,Lusitanian,Leptocephalus larvae,300,Piscivore,4.3,Shelf,Reef-associated,Yang (1982a)
Clupeidae,Alosa alosa,Allis shad,Lusitanian,Fluvial spawner,70,Planktivore,3.6,Shelf,Pelagic,Yang (1982a)
